Row,Provider,Error Message,Error Code,Website
1723,i-Accountpro,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://i-accountpro.com/index.html
1724,Dynaware,HTTPError,404,http://www.dynaware.com/
1728,ISO Enterprise,HTTPError,404,"http://www.isoenterprise.com/isocrm/hisows_portal.ASPx?1,1,1,,0,0,0,,1"
1736,embraase,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://www.embraase.com/
1747,Modit,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",https://mod.it/welcome
1759,PASARY Marketplaces,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://pasary.com/
1779,Globa.li,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",https://www.globa.li/
1780,Bazingo,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://bazingo.com/
1785,Green House Data fibercloud,XML Synxtax Error, ,https://www.fibercloud.com/
1786,Inswave,HTTPError,404,http://www.inswave.com/inswave/eng/index.html
1787,Dream Security,HTTPError,404,http://www.dreamsecurity.com/english/index.ASP
1789,LinkedIN lynda.com,Duplicate, ,See LinkedIN
1799,Offshoot Resurva,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://offshoot.com/
1814,Kaseya Zyrion,Duplicate, ,See Kaseya
1817,Cloudsafe,HTTPError,404,https://secure.cloudsafe.com/login/
1821,Exa,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://www.exa.com/
1823,Health Hiway,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.healthhiway.com/
1850,Zuora Frontleaf,Duplicate, ,See Zuora
1851,Marin Software SocialMoov,Duplicate, ,See Marin
1868,CallTree Pro,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",https://calltreepro.com/
1872,PunchTab,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://www.punchtab.com/
1882,Colongy Logic,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.colonylogic.com/approach/
1899,Tritech Tiburon,Duplicate, ,See Tritech
1918,OpenSilo,HTTPError,404,http://www.opensilo.co/
1932,pepperbill GmbH,HTTPError,404,http://www.pepperbill.com/de
1933,Owiwi P.C,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.owiwi.gr/
1936,Mapidy,HTTPError,502,http://mapidy.com/
1965,UL Workplace,HTTPError,404,http://www.ulworkplace.com/products/puresafety-safety-management/
1988,Lufthansa Systems AG ,Duplicate, ,See Lufthansa
2029,Proofpoint Emerging threats,Duplicate, ,See proofpoint
2044,NeuralSoft,HTTPError,404,https://www.neuralsoft.com/home-eng
2082,IFCA,HTTPError,403,http://www.ifca.com.my/index.html
2109,InterSystems,Duplicate, ,See Misys
2140,Cloudjutsu,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",https://www.cloudjutsu.com/
2147,Cabsolutely,Server didn't send data, ,http://www.cabsolutely.co/
2165,Software Innovation,HTTPError,404,http://www.software-innovation.com/en/pages/default.ASPx
2173,Geekcrowd Krowdify,Server didn't send data, ,http://www.krowdify.com/
2174,Fanaticall,HTTPError,503,https://ecn.expertcallingnetwork.com/experts/featured/aboutfanaticall
2179,Capita Smartmate,Duplicate, ,See Capita
2182,Revitas,Server didn't send data, ,http://www.revitas.com/
2185,"Mixpo Shopigniter, Inc.",Server didn't send data, ,http://www.shopigniter.com/
2191,Focus Telecom,Duplicate, ,See FIS
2211,PTC ColdLight Solutions,Duplicate, ,See PTC
2218,ClaraStream,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://www.clarastream.com/
2220,Missler Software,HTTPError,404,http://www.topsolid.com/company/profile.htm
2232,Ublys,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.ublys.com/HomePage/home.php
2233,Focus Softnet,HTTPError,404,http://www.focussoftnet.com/home.html
2243,Sonda,HTTPError,404,http://www.sonda.com/eng/history.html
2275,CollectPro,Server didn't send data, ,http://www.mycollectpro.com/
2280,Crowdfynd,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://www.crowdfynd.com/
2284,SD Worx COBRA,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://www.cobra.nl/
2291,msg life,HTTPError,404,https://www.msg-life.com/en/a-leader-in-insurance-technology-solutions/
2310,Nucleus Software,HTTPError,404,http://www.nucleussoftware.com/home.htm
2311,Free LAND,Server didn't send data, ,http://free-land.uni.me/
2315,RegulatoryBinder,HTTPError,404,http://www.complion.com/about-us/
2327,LogiGear,HTTPError,404,http://logigear.com/home.html
2343,Telefonica o2,Duplicate, ,See Telefonica
2377,DedaGroup ICT Sintecop,HTTPError,404,http://www.dedagroup.it/static/default/Dedagroup-ICT-Network-923.ASPx
2388,Ender Labs,URLError ,"SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:645)')",https://enderlabs.com/
2389,ChatBadge,XML Synxtax Error, ,http://www.chatbadge.com/
2391,Viddyad Foxframe,Server didn't send data, ,http://www.viddyad.com/
2399,Driveback.ru,HTTPError,404,http://www.driveback.ru/en/
2412,Datananas,HTTPError,302,https://www.datananas.com/en/
2427,Crisply INC,URLError ,"gaierror(8, 'nodename nor servname provided, or not known')",http://crisply.com/
2431,Billingstreet,Server didn't send data, ,http://billingstreet.com/
2438,ZenSuite,HTTPError,403,https://zensuite.net/
